id,Category,Item,Serving_Size,Price_Rs,Nutrition_Info,Calories_kcal_Approx,Protein_g_Approx,Carbs_g_Approx,Fat_g_Approx,Fiber_g_Approx
0001,Breakfast,Idly (3 nos),150,20,"Approximate estimate; actual values vary with recipe, oil, sugar, and portioning.",230,7,48,1,2
0002,Breakfast,Ragi Idly (3 nos),150,24,"Approximate estimate; actual values vary with recipe, oil, sugar, and portioning.",210,6,42,2,4
0003,Breakfast,Uthappam,80,26,"Approximate estimate; actual values vary with recipe, oil, sugar, and portioning.",170,4,28,5,2
0004,Breakfast,Plain Dosa,80,23,"Approximate estimate; actual values vary with recipe, oil, sugar, and portioning.",170,4,27,5,1
0005,Breakfast,Onion Dosa/Uthappam,90,30,"Approximate estimate; actual values vary with recipe, oil, sugar, and portioning.",190,5,29,6,2
0006,Breakfast,Masala Dosa,130,35,"Approximate estimate; actual values vary with recipe, oil, sugar, and portioning.",280,6,42,9,4
0007,Breakfast,Millet Dosa,90,23,"Approximate estimate; actual values vary with recipe, oil, sugar, and portioning.",180,5,30,4,3
0008,Breakfast,Pesarattu,90,39,"Approximate estimate; actual values vary with recipe, oil, sugar, and portioning.",190,9,27,5,5
0009,Breakfast,Medhu/Masala Vada,40,10,"Approximate estimate; actual values vary with recipe, oil, sugar, and portioning.",140,4,16,7,2
0010,Breakfast,Sambar Vada,40,20,"Approximate estimate; actual values vary with recipe, oil, sugar, and portioning.",160,5,22,6,3
0011,Breakfast,Mysore Bonda/Punugulu,60,15,"Approximate estimate; actual values vary with recipe, oil, sugar, and portioning.",190,4,24,9,2
0012,Breakfast,Pongal/Upma/Kitchadi,200,25,"Approximate estimate; actual values vary with recipe, oil, sugar, and portioning.",260,7,40,8,3
0013,Breakfast,Appam (2) with Veg Curry/Coconut Milk,150,35,"Approximate estimate; actual values vary with recipe, oil, sugar, and portioning.",300,6,48,9,3
0014,Breakfast,Idiyappam (3) with Veg Curry,120,39,"Approximate estimate; actual values vary with recipe, oil, sugar, and portioning.",250,5,45,5,3
0015,Breakfast,Puttu (2 pieces) with Kadala Curry,150,39,"Approximate estimate; actual values vary with recipe, oil, sugar, and portioning.",300,10,48,7,7
0016,Breakfast,Poori Masala (2),60,30,"Approximate estimate; actual values vary with recipe, oil, sugar, and portioning.",330,7,42,15,5
0017,Breakfast,Aloo Paratha with Curd,250,35,"Approximate estimate; actual values vary with recipe, oil, sugar, and portioning.",390,11,52,15,5
0018,Breakfast,Paneer Paratha with Curd,250,46,"Approximate estimate; actual values vary with recipe, oil, sugar, and portioning.",450,18,50,19,5
0019,Breakfast,Misal Pav,200,31,"Approximate estimate; actual values vary with recipe, oil, sugar, and portioning.",430,15,55,17,8
0020,Breakfast,Boiled Egg,1,10,"Approximate estimate; actual values vary with recipe, oil, sugar, and portioning.",78,6,1,5,0
0021,Breakfast,Scrambled Egg/Omelet,1,14,"Approximate estimate; actual values vary with recipe, oil, sugar, and portioning.",100,7,1,7,0
0022,Breakfast,Bread Omelet,1,28,"Approximate estimate; actual values vary with recipe, oil, sugar, and portioning.",230,10,25,10,2
0023,Breakfast,Pav Bhaji (2 pav),200,35,"Approximate estimate; actual values vary with recipe, oil, sugar, and portioning.",390,9,57,14,7
0024,Breakfast,Cornflakes + Milk,235,33,"Approximate estimate; actual values vary with recipe, oil, sugar, and portioning.",210,7,38,4,1
0025,Breakfast,Banana,150,8,"Approximate estimate; actual values vary with recipe, oil, sugar, and portioning.",135,2,35,0,4
0026,Breakfast,Sprouts + Vegetables,100,20,"Approximate estimate; actual values vary with recipe, oil, sugar, and portioning.",100,7,15,2,5
0027,Indian Breads,Roti/Naan/Kulcha,30,10,"Approximate estimate; actual values vary with recipe, oil, sugar, and portioning.",85,3,17,1,2
0028,Indian Breads,Butter Naan,40,15,"Approximate estimate; actual values vary with recipe, oil, sugar, and portioning.",140,4,22,4,1
0029,Indian Breads,Phulka (3),90,18,"Approximate estimate; actual values vary with recipe, oil, sugar, and portioning.",210,7,42,2,5
0030,Indian Breads,Chola Bhature,60,24,"Approximate estimate; actual values vary with recipe, oil, sugar, and portioning.",250,7,35,10,5
0031,Indian Breads,Chapati (2),60,15,"Approximate estimate; actual values vary with recipe, oil, sugar, and portioning.",150,5,30,2,4
0032,Snacks,Samosa (2),150,22,"Approximate estimate; actual values vary with recipe, oil, sugar, and portioning.",500,8,54,29,6
0033,Snacks,Bajji,100,14,"Approximate estimate; actual values vary with recipe, oil, sugar, and portioning.",280,5,30,15,3
0034,Snacks,Vada,40,12,"Approximate estimate; actual values vary with recipe, oil, sugar, and portioning.",140,4,15,7,2
0035,Snacks,Pakoda,150,24,"Approximate estimate; actual values vary with recipe, oil, sugar, and portioning.",430,8,45,25,6
0036,Snacks,Kachori,75,17,"Approximate estimate; actual values vary with recipe, oil, sugar, and portioning.",250,5,29,13,4
